AAB,Aalborg_Boldspilsklub,N
AGF,Aarhus_Gymnastikforening,N
BIF,Brøndby_Idrætsforening,N
FCK,Footbal_Club_København,W
FCM,Footbal_Club_Midtjylland,C
FCN,Footbal_Club_Nordsjælland,N
OB,Odense_Boldklub,N
RFC,Randers_Football_Club,N
SIF,Silkeborg_Idrætsforening,N
SJE,SønderjyskE_Football_Club,N
VB,Vejle_Boldklub,P
VFF,Viborg_Fodsports_Forening,N
